ms,degC
2022,28.60
4044,28.50
6067,28.50
8089,28.60
10114,28.70
12136,28.90
14158,29.00
16181,29.10
18204,29.30
20227,29.50
22251,29.60
24273,29.80
26296,30.00
28320,30.10
30343,30.30
32366,30.50
-31148,30.60
-29125,30.80
-27101,31.00
-25078,31.10
-23055,31.30
-21032,31.50
-19010,31.50
-16987,31.80
-14964,31.80
-12942,32.00
-10918,32.10
-8894,32.30
-6872,32.40
-4849,32.50
-2827,32.50
-804,32.70
1220,32.80
3244,32.80
5267,33.00
7289,33.10
9312,33.20
11334,33.30
13359,33.30
15381,33.40
17403,33.50
19426,33.60
21450,33.70
23473,33.80
25495,33.80
27517,33.80
29542,33.90
31565,34.00
-31947,34.00
-29925,34.10
